Title,Rarity,Edge,Mintage,Engraver,Times Issued,Composition,Currency,Demonetized,Diameter,Orientation,Shape,Type,Issuer,Technique,Thickness,Weight,Year,Historical Figure,Century
5 Centimes - N.D DU VOEU CHERBOURG 50,97,Special,-1.0,0,0,Brass,France - Merchandise Tokens,1,20.5,Medal alignment ↑↑,0,Token/Medal,France,Other,1.8,28.28,unknown,0,unknown
"¼ Dollar ""Washington Quarter"" American Samoa",6,Reeded,39600000.0,1,5,Bimetallic,Dollar (1785-date),0,24.26,Coin alignment ↑↓,0,Circulating commemorative coin,United States,Milled,1.75,5.67,2009,0,20
Denarius Volteia: Marcus Volteius; M•VOLTEI•M•F,94,Smooth,-1.0,0,0,Silver,Denarius of 16 Asses (141 – 27 BC),1,19.0,unknown,1,Standard circulation coin,Roman Republic (ancient),Hammered,1.8,4.11,-78,0,-1
½ Crown - William & Mary 1st busts; 1st shield,71,Special,-1.0,0,0,Silver,Pound sterling (1158-1970),1,34.0,Coin alignment ↑↓,0,Standard circulation coin,England,Other,1.8,15.05,1689,0,16
Car Wash Token - Hobby Wash Aurea,94,Special,-1.0,0,0,Other,Car Wash Token - Hobby Wash Aurea,-1,23.5,Medal alignment ↑↑,0,Token/Medal,Federal Republic of Germany,Milled,1.5,5.4,unknown,0,unknown
¹⁄₁₀₀ Unit - Sriksetra,92,Special,-1.0,0,0,Silver,¹⁄₁₀₀ Unit - Sriksetra,1,9.5,Medal alignment ↑↑,1,Standard circulation coin,Sri Ksetra Kingdom,Hammered,0.3,0.1,300.0,0,unknown
1 Rupee - Azid-al-Din Alamgir II 1754-59AD,89,Gross,-1.0,0,0,Silver,Rupee (1540-1842),1,20.0,unknown,0,Standard circulation coin,Mughal Empire,Other,3.98,11.54,1167.0,0,unknown
5 Shilingi FAO,10,Special,8000000.0,1,3,Bimetallic,Shilling (1966-date),0,31.5,Medal alignment ↑↑,1,Circulating commemorative coin,Tanzania,Milled,2.2,13.8,1972.0,0,unknown
5 Leva Soccer Cup,25,Special,220000.0,0,2,Bimetallic,Third lev (1962-1999),1,34.2,Medal alignment ↑↑,0,Non-circulating coin,Bulgaria,Milled,1.8,16.4,1980,0,19
20 Leva - Boris III,11,Smooth,6650000.0,0,1,Bimetallic,First lev (1881-1952),1,21.0,Coin alignment ↑↓,0,Standard circulation coin,Bulgaria,Milled,1.7,4.0,1940,1,19
500 Francs CFA Monetary Union,32,Reeded,100000.0,1,1,Bimetallic,CFA franc (1958-date),0,37.0,Coin alignment ↑↓,0,Non-circulating coin,Western African States - Central Bank of Western African States,Milled,2.9,25.0,1972,0,19
